give_up_fraction,cost,cost+dis_depot,cost/demand,cost and dis_depot,cost/demand and dis_depot,cost and give_up,cost/demand and give_up
1/2,389.0,419.0,389.0,389.0,389.0,389.0,389.0
1/3,389.0,419.0,389.0,389.0,389.0,389.0,389.0
1/4,389.0,419.0,389.0,389.0,389.0,389.0,389.0
1/5,389.0,419.0,389.0,389.0,389.0,389.0,389.0
1/6,389.0,419.0,389.0,389.0,389.0,389.0,389.0
1/7,389.0,419.0,389.0,389.0,389.0,389.0,389.0
1/8,389.0,419.0,389.0,389.0,389.0,389.0,389.0
1/9,389.0,419.0,389.0,389.0,389.0,389.0,389.0
